f,attack,aggregator,seed,accuracy,macro_f1,retained
0.3,adaptive,fedavg,3,0.8606,0.8611,97.59
0.3,adaptive,fedavg,4,0.8525,0.852,98.33
0.3,adaptive,krum,0,0.8625,0.8624,100.6
0.3,adaptive,krum,1,0.8314,0.8329,98.72
0.3,adaptive,krum,2,0.8506,0.8501,100.59
0.3,adaptive,krum,3,0.8486,0.8492,100.24
0.3,adaptive,krum,4,0.8293,0.827,98.79
0.3,adaptive,median,0,0.8626,0.8632,99.38
0.3,adaptive,median,1,0.8332,0.8331,99.21
0.3,adaptive,median,2,0.841,0.8404,99.5
0.3,adaptive,median,3,0.8543,0.8548,99.06
0.3,adaptive,median,4,0.8464,0.8458,99.15
0.3,adaptive,trimmed_mean,0,0.87,0.8699,99.41
0.3,adaptive,trimmed_mean,1,0.8447,0.8447,98.81
0.3,adaptive,trimmed_mean,2,0.8467,0.846,98.83
0.3,adaptive,trimmed_mean,3,0.8593,0.8601,98.6
0.3,adaptive,trimmed_mean,4,0.8491,0.8486,98.75
0.3,adaptive,fltrust,0,0.8277,0.8247,97.64
0.3,adaptive,fltrust,1,0.8069,0.8046,100.18
0.3,adaptive,fltrust,2,0.7882,0.7876,99.72
0.3,adaptive,fltrust,3,0.8095,0.8056,98.85
0.3,adaptive,fltrust,4,0.7901,0.7874,96.87
0.3,adaptive,reputation,0,0.8613,0.8617,99.36
0.3,adaptive,reputation,1,0.8377,0.8376,99.39
0.3,adaptive,reputation,2,0.8393,0.8385,99.32
0.3,adaptive,reputation,3,0.8514,0.8525,99.12
0.3,adaptive,reputation,4,0.8436,0.843,99.56
0.3,alie,fedavg,0,0.8708,0.8702,98.41
0.3,alie,fedavg,1,0.8449,0.8445,97.29
0.3,alie,fedavg,2,0.8449,0.8436,96.94
0.3,alie,fedavg,3,0.8634,0.8632,97.9
0.3,alie,fedavg,4,0.858,0.8575,98.98
0.3,alie,krum,0,0.8563,0.8565,99.89
0.3,alie,krum,1,0.8425,0.8421,100.04
0.3,alie,krum,2,0.8427,0.8421,99.65
0.3,alie,krum,3,0.8441,0.8437,99.72
0.3,alie,krum,4,0.8212,0.8209,97.82
0.3,alie,median,0,0.8612,0.8607,99.21
0.3,alie,median,1,0.824,0.8237,98.1
0.3,alie,median,2,0.8351,0.8333,98.8
0.3,alie,median,3,0.828,0.8269,96.01
0.3,alie,median,4,0.8308,0.8311,97.33
0.3,alie,trimmed_mean,0,0.8634,0.8629,98.65
0.3,alie,trimmed_mean,1,0.8373,0.8369,97.94
0.3,alie,trimmed_mean,2,0.8338,0.8322,97.32
0.3,alie,trimmed_mean,3,0.8521,0.852,97.77
0.3,alie,trimmed_mean,4,0.8475,0.8471,98.56
0.3,alie,fltrust,0,0.8519,0.8501,100.5
0.3,alie,fltrust,1,0.8071,0.804,100.21
0.3,alie,fltrust,2,0.7966,0.7951,100.77
0.3,alie,fltrust,3,0.8299,0.8287,101.33
0.3,alie,fltrust,4,0.7984,0.7958,97.89
0.3,alie,reputation,0,0.8623,0.8618,99.47
0.3,alie,reputation,1,0.8302,0.83,98.51
0.3,alie,reputation,2,0.8286,0.8274,98.05
0.3,alie,reputation,3,0.8528,0.8527,99.29
0.3,alie,reputation,4,0.8504,0.8501,100.37
0.1,ipm,fedavg,0,0.8799,0.8794,99.44
0.1,ipm,fedavg,1,0.8654,0.8653,99.66
0.1,ipm,fedavg,2,0.8608,0.8599,98.77
0.1,ipm,fedavg,3,0.8736,0.8737,99.06
0.1,ipm,fedavg,4,0.8591,0.8586,99.1
0.1,ipm,krum,0,0.8521,0.8518,99.4
